attempt,id,name,rarity,motion,difficulty,motionSpeed,restlessness,progressRateMult,escapeRateMult,jitter,specialChance,mixChance,edited,tackle,barPixels,playerGain,playerLoss,rumorSpeed,barHeight,seed,trackPixels,blind,outcome,seconds,frames
18,starfish_blue,Crusty Star,COMMON,SINKER,43.0,1.04,0.7,1.147,1.639,0.3,0.3,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-275345461613472064,360,1,CAUGHT,4.60000,276
19,abyssal_ghost_manta,Abyssal Ghost Manta,LEGENDARY,MIXED,199.0,1.6,0.7,0.82,1.885,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-2322025010111908036,360,1,LOST,2.00000,120
20,miscount,Relic Crab,EPIC,MIXED,145.0,1.4,1.05,0.722,1.369,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7505232412578793281,360,1,LOST,5.15001,309
21,blue_tang,Blue Tang,COMMON,WEAVER,51.0,0.94,0.7,1.0,1.26,1.0,0.2,0.1,0,NONE,120.0,1.0,1.0,1.0,0.33333334,2768648235219442600,360,1,CAUGHT,3.01666,181
22,false_dawn,False Dawn,LEGENDARY,MIXED,194.0,2.02,1.45,0.82,1.769,0.3,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-7076933957547954338,360,1,LOST,5.26668,316
23,tuna_2,Ice Tuna,UNCOMMON,WEAVER,80.0,0.88,1.05,0.807,1.124,1.0,0.2,0.12,0,NONE,120.0,1.0,1.0,1.0,0.33333334,103185283069051981,360,1,CAUGHT,4.68334,281
24,longliner,The Imposter,LEGENDARY,MIXED,187.0,1.5,1.05,0.697,1.504,0.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-4996882170186218686,360,1,LOST,9.08337,545
25,weathervane,Weathervane,RARE,SMOOTH,119.0,1.54,0.7,0.9,1.438,0.15,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-6075291279850991556,360,1,CAUGHT,8.21671,493
26,vulcan_2,Vulcan Cannonfish,RARE,MIXED,130.0,1.77,1.05,0.9,1.438,1.3,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,2970349861388088039,360,1,LOST,17.38324,1043
27,quorum_shard,Quorum Splinter,RARE,DARTER,100.0,0.85,1.45,1.05,0.95,0.8,0.25,0.15,0,NONE,120.0,1.0,1.0,1.0,0.33333334,4692738260592562230,360,1,CAUGHT,4.78334,287
28,alfonzo_nautilus2,Abyssal Nautilus,UNCOMMON,MIXED,145.0,1.27,1.05,0.82,1.5,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,-1000634885815904567,360,1,LOST,5.11668,307
29,abyssal_ghost_manta,Abyssal Ghost Manta,LEGENDARY,MIXED,199.0,1.6,0.7,0.82,1.885,2.5,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,7911475970675024843,360,1,LOST,4.90001,294
30,lantern_jack,Lantern Jack,LEGENDARY,MIXED,196.0,1.76,0.7,0.697,1.504,0.6,0.0,0.0,0,NONE,120.0,1.0,1.0,1.0,0.33333334,5726618123891134782,360,1,LOST,7.16671,430
